dataset,model,state,mean,mean_CI95,var,var_CI95,param1,param1_CI95,param2,param2_CI95,param3,param3_CI95
onset-to-hospital-admission,Weibull,PR,7.01,"(6.86, 7.16)",18.42,"(17.45, 19.46)",1.68,"(1.64, 1.72)",7.85,"(7.68, 8.03)",,
onset-to-hospital-admission,Weibull,RJ,7.28,"(7.2, 7.35)",25.18,"(24.58, 25.82)",1.48,"(1.46, 1.49)",8.04,"(7.96, 8.13)",,
onset-to-hospital-admission,Weibull,RN,8.94,"(8.67, 9.21)",34.87,"(32.66, 37.28)",1.55,"(1.5, 1.59)",9.94,"(9.63, 10.24)",,
onset-to-hospital-admission,Weibull,RO,7.43,"(7.02, 7.86)",26.67,"(23.2, 30.86)",1.46,"(1.38, 1.55)",8.2,"(7.73, 8.71)",,
onset-to-hospital-admission,Weibull,RR,8.16,"(7.35, 9.03)",32.02,"(24.93, 41.43)",1.47,"(1.33, 1.61)",9.02,"(8.08, 10.0)",,
onset-to-hospital-admission,Weibull,RS,6.78,"(6.64, 6.93)",17.77,"(16.93, 18.68)",1.65,"(1.62, 1.69)",7.59,"(7.42, 7.75)",,
onset-to-hospital-admission,Weibull,SC,7.03,"(6.82, 7.26)",19.94,"(18.51, 21.58)",1.61,"(1.56, 1.66)",7.85,"(7.6, 8.11)",,
onset-to-hospital-admission,Weibull,SE,7.61,"(7.28, 7.94)",29.43,"(26.53, 32.86)",1.42,"(1.37, 1.48)",8.37,"(7.99, 8.74)",,
onset-to-hospital-admission,Weibull,SP,7.22,"(7.18, 7.26)",22.08,"(21.79, 22.36)",1.57,"(1.56, 1.58)",8.04,"(7.99, 8.08)",,
onset-to-hospital-admission,Weibull,TO,7.98,"(7.59, 8.37)",23.64,"(20.91, 26.89)",1.69,"(1.6, 1.78)",8.94,"(8.5, 9.38)",,
onset-to-hospital-admission,Weibull,Brazil,7.64,"(7.61, 7.67)",26.15,"(25.92, 26.38)",1.52,"(1.52, 1.53)",8.48,"(8.45, 8.51)",,
onset-to-hospital-admission,Log-normal,AC,8.44,"(7.85, 9.11)",31.71,"(23.56, 41.6)",1.95,"(1.88, 2.02)",0.6,"(0.56, 0.65)",,
onset-to-hospital-admission,Log-normal,AL,8.28,"(8.0, 8.57)",35.21,"(31.19, 39.85)",1.91,"(1.87, 1.94)",0.64,"(0.62, 0.67)",,
onset-to-hospital-admission,Log-normal,AM,9.44,"(9.26, 9.61)",52.69,"(49.15, 56.54)",2.01,"(1.99, 2.03)",0.68,"(0.67, 0.69)",,
onset-to-hospital-admission,Log-normal,AP,8.02,"(7.45, 8.66)",36.52,"(28.04, 47.13)",1.86,"(1.79, 1.93)",0.67,"(0.63, 0.71)",,
onset-to-hospital-admission,Log-normal,BA,7.65,"(7.49, 7.81)",34.32,"(31.7, 37.18)",1.8,"(1.78, 1.82)",0.68,"(0.67, 0.69)",,
onset-to-hospital-admission,Log-normal,CE,8.98,"(8.85, 9.12)",44.34,"(41.95, 46.83)",1.98,"(1.96, 1.99)",0.66,"(0.65, 0.67)",,
onset-to-hospital-admission,Log-normal,DF,7.83,"(7.63, 8.04)",28.97,"(26.36, 31.93)",1.86,"(1.84, 1.89)",0.62,"(0.61, 0.64)",,
onset-to-hospital-admission,Log-normal,ES,7.78,"(7.5, 8.09)",33.85,"(29.5, 39.01)",1.83,"(1.79, 1.86)",0.67,"(0.64, 0.69)",,
onset-to-hospital-admission,Log-normal,GO,7.12,"(6.9, 7.35)",24.29,"(21.52, 27.37)",1.77,"(1.74, 1.8)",0.63,"(0.61, 0.65)",,
onset-to-hospital-admission,Log-normal,MA,9.21,"(8.87, 9.57)",49.27,"(43.1, 56.39)",1.99,"(1.96, 2.03)",0.68,"(0.65, 0.7)",,
onset-to-hospital-admission,Log-normal,MG,7.28,"(7.14, 7.43)",27.89,"(25.91, 30.08)",1.77,"(1.76, 1.79)",0.65,"(0.64, 0.66)",,
onset-to-hospital-admission,Log-normal,MS,6.79,"(6.47, 7.13)",22.59,"(18.82, 27.04)",1.72,"(1.67, 1.76)",0.63,"(0.6, 0.66)",,
onset-to-hospital-admission,Log-normal,MT,7.7,"(7.45, 7.98)",26.0,"(22.76, 29.6)",1.86,"(1.83, 1.89)",0.6,"(0.58, 0.62)",,
onset-to-hospital-admission,Log-normal,PA,8.91,"(8.77, 9.05)",43.7,"(41.23, 46.37)",1.97,"(1.95, 1.98)",0.66,"(0.65, 0.67)",,
onset-to-hospital-admission,Log-normal,PB,7.98,"(7.73, 8.24)",36.35,"(32.34, 40.7)",1.85,"(1.82, 1.88)",0.67,"(0.65, 0.69)",,
onset-to-hospital-admission,Log-normal,PE,7.39,"(7.25, 7.53)",35.27,"(33.02, 37.68)",1.75,"(1.73, 1.77)",0.71,"(0.69, 0.72)",,
onset-to-hospital-admission,Log-normal,PI,7.85,"(7.63, 8.08)",31.88,"(28.54, 35.64)",1.85,"(1.83, 1.88)",0.65,"(0.63, 0.66)",,
onset-to-hospital-admission,Log-normal,PR,7.1,"(6.93, 7.27)",25.3,"(23.09, 27.62)",1.76,"(1.73, 1.78)",0.64,"(0.62, 0.65)",,
onset-to-hospital-admission,Log-normal,RJ,7.28,"(7.19, 7.37)",32.26,"(30.94, 33.65)",1.75,"(1.74, 1.76)",0.69,"(0.68, 0.7)",,
onset-to-hospital-admission,Log-normal,RN,9.02,"(8.73, 9.31)",42.8,"(38.05, 48.06)",1.99,"(1.96, 2.02)",0.65,"(0.63, 0.67)",,
onset-to-hospital-admission,Log-normal,RO,7.48,"(7.0, 8.0)",41.79,"(33.29, 52.88)",1.73,"(1.67, 1.79)",0.75,"(0.71, 0.79)",,
onset-to-hospital-admission,Log-normal,RR,8.02,"(7.14, 9.0)",37.16,"(25.57, 53.03)",1.85,"(1.74, 1.96)",0.67,"(0.61, 0.73)",,
onset-to-hospital-admission,Log-normal,RS,6.87,"(6.71, 7.02)",22.92,"(21.06, 24.9)",1.73,"(1.71, 1.75)",0.63,"(0.61, 0.64)",,
onset-to-hospital-admission,Log-normal,SC,7.09,"(6.86, 7.33)",24.25,"(21.43, 27.59)",1.76,"(1.73, 1.79)",0.63,"(0.61, 0.65)",,
onset-to-hospital-admission,Log-normal,SE,7.56,"(7.22, 7.93)",38.4,"(32.47, 45.5)",1.77,"(1.72, 1.81)",0.72,"(0.69, 0.75)",,
onset-to-hospital-admission,Log-normal,SP,7.24,"(7.19, 7.28)",27.29,"(26.68, 27.89)",1.77,"(1.76, 1.77)",0.65,"(0.64, 0.65)",,
onset-to-hospital-admission,Log-normal,TO,8.13,"(7.69, 8.58)",30.25,"(24.64, 36.74)",1.91,"(1.85, 1.96)",0.61,"(0.58, 0.65)",,
onset-to-hospital-admission,Log-normal,Brazil,7.66,"(7.63, 7.69)",32.68,"(32.24, 33.15)",1.81,"(1.81, 1.82)",0.67,"(0.66, 0.67)",,
onset-to-hospital-admission,Gen. Gamma,AC,,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)"
onset-to-hospital-admission,Gen. Gamma,AL,,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)"
onset-to-hospital-admission,Gen. Gamma,AM,,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)"
onset-to-hospital-admission,Gen. Gamma,AP,,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)"
onset-to-hospital-admission,Gen. Gamma,BA,,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)"
onset-to-hospital-admission,Gen. Gamma,CE,,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)"
onset-to-hospital-admission,Gen. Gamma,DF,,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)"
onset-to-hospital-admission,Gen. Gamma,ES,,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)"
onset-to-hospital-admission,Gen. Gamma,GO,,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)"
onset-to-hospital-admission,Gen. Gamma,MA,,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)"
onset-to-hospital-admission,Gen. Gamma,MG,,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)"
onset-to-hospital-admission,Gen. Gamma,MS,,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)"
onset-to-hospital-admission,Gen. Gamma,MT,,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)"
onset-to-hospital-admission,Gen. Gamma,PA,,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)"
onset-to-hospital-admission,Gen. Gamma,PB,,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)"
onset-to-hospital-admission,Gen. Gamma,PE,,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)"
onset-to-hospital-admission,Gen. Gamma,PI,,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)"
onset-to-hospital-admission,Gen. Gamma,PR,,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)"
onset-to-hospital-admission,Gen. Gamma,RJ,,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)"
onset-to-hospital-admission,Gen. Gamma,RN,,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)"
onset-to-hospital-admission,Gen. Gamma,RO,,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)"
onset-to-hospital-admission,Gen. Gamma,RR,,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)"
onset-to-hospital-admission,Gen. Gamma,RS,,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)"
onset-to-hospital-admission,Gen. Gamma,SC,,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)"
onset-to-hospital-admission,Gen. Gamma,SE,,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)"
onset-to-hospital-admission,Gen. Gamma,SP,,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)"
onset-to-hospital-admission,Gen. Gamma,TO,,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)"
onset-to-hospital-admission,Gen. Gamma,Brazil,,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)"
onset-to-hospital-admission,Gen. Log-normal,AC,8.39,"(7.78, 9.07)",31.53,"(21.28, 48.14)",1.96,"(1.89, 2.03)",0.46,"(0.35, 0.58)",1.63,"(1.34, 1.95)"
onset-to-hospital-admission,Gen. Log-normal,AL,8.37,"(8.08, 8.68)",41.88,"(35.11, 50.71)",1.91,"(1.88, 1.95)",0.51,"(0.46, 0.57)",1.6,"(1.47, 1.75)"
onset-to-hospital-admission,Gen. Log-normal,AM,9.87,"(9.66, 10.08)",82.36,"(70.43, 97.34)",2.05,"(2.03, 2.06)",0.46,"(0.42, 0.49)",1.41,"(1.33, 1.49)"
onset-to-hospital-admission,Gen. Log-normal,AP,8.03,"(7.43, 8.7)",36.13,"(26.34, 50.33)",1.86,"(1.79, 1.93)",0.68,"(0.58, 0.78)",2.05,"(1.74, 2.41)"
onset-to-hospital-admission,Gen. Log-normal,BA,7.77,"(7.59, 7.97)",38.17,"(34.08, 42.87)",1.82,"(1.8, 1.84)",0.62,"(0.58, 0.66)",1.81,"(1.69, 1.93)"
onset-to-hospital-admission,Gen. Log-normal,CE,9.48,"(9.35, 9.61)",66.96,"(59.99, 75.1)",2.02,"(2.01, 2.03)",0.46,"(0.43, 0.49)",1.44,"(1.37, 1.5)"
onset-to-hospital-admission,Gen. Log-normal,DF,8.06,"(7.85, 8.29)",35.47,"(30.69, 41.69)",1.89,"(1.87, 1.92)",0.49,"(0.44, 0.54)",1.6,"(1.47, 1.73)"
onset-to-hospital-admission,Gen. Log-normal,ES,7.9,"(7.56, 8.26)",36.99,"(30.57, 46.03)",1.84,"(1.8, 1.88)",0.62,"(0.54, 0.69)",1.85,"(1.64, 2.07)"
onset-to-hospital-admission,Gen. Log-normal,GO,7.11,"(6.88, 7.35)",23.96,"(20.9, 27.63)",1.77,"(1.74, 1.8)",0.62,"(0.56, 0.68)",2.0,"(1.81, 2.21)"
onset-to-hospital-admission,Gen. Log-normal,MA,9.43,"(9.04, 9.84)",57.08,"(46.97, 70.71)",2.01,"(1.97, 2.05)",0.6,"(0.53, 0.67)",1.76,"(1.59, 1.96)"
onset-to-hospital-admission,Gen. Log-normal,MG,7.39,"(7.22, 7.57)",30.5,"(27.62, 34.13)",1.79,"(1.77, 1.81)",0.59,"(0.55, 0.63)",1.81,"(1.7, 1.92)"
onset-to-hospital-admission,Gen. Log-normal,MS,6.72,"(6.39, 7.06)",21.05,"(17.22, 26.06)",1.71,"(1.66, 1.75)",0.65,"(0.58, 0.73)",2.12,"(1.85, 2.42)"
onset-to-hospital-admission,Gen. Log-normal,MT,7.84,"(7.54, 8.16)",28.47,"(23.59, 34.73)",1.88,"(1.84, 1.91)",0.53,"(0.46, 0.59)",1.75,"(1.56, 1.97)"
onset-to-hospital-admission,Gen. Log-normal,PA,9.19,"(9.03, 9.36)",55.81,"(50.38, 62.15)",1.99,"(1.98, 2.01)",0.52,"(0.49, 0.55)",1.58,"(1.51, 1.66)"
onset-to-hospital-admission,Gen. Log-normal,PB,8.07,"(7.81, 8.34)",40.43,"(34.67, 47.59)",1.86,"(1.83, 1.89)",0.6,"(0.55, 0.66)",1.78,"(1.64, 1.94)"
onset-to-hospital-admission,Gen. Log-normal,PE,7.35,"(7.22, 7.5)",33.71,"(31.27, 36.36)",1.75,"(1.73, 1.76)",0.74,"(0.71, 0.78)",2.13,"(2.02, 2.25)"
onset-to-hospital-admission,Gen. Log-normal,PI,8.08,"(7.82, 8.35)",38.95,"(32.7, 47.02)",1.88,"(1.85, 1.9)",0.53,"(0.47, 0.58)",1.63,"(1.49, 1.78)"
onset-to-hospital-admission,Gen. Log-normal,PR,7.08,"(6.89, 7.27)",24.96,"(22.27, 28.04)",1.75,"(1.73, 1.78)",0.64,"(0.59, 0.69)",2.02,"(1.85, 2.2)"
onset-to-hospital-admission,Gen. Log-normal,RJ,7.23,"(7.14, 7.32)",30.97,"(29.48, 32.58)",1.74,"(1.73, 1.75)",0.72,"(0.7, 0.74)",2.1,"(2.03, 2.17)"
onset-to-hospital-admission,Gen. Log-normal,RN,9.45,"(9.14, 9.8)",58.36,"(47.52, 72.8)",2.03,"(2.0, 2.06)",0.48,"(0.43, 0.54)",1.52,"(1.38, 1.67)"
onset-to-hospital-admission,Gen. Log-normal,RO,7.23,"(6.72, 7.8)",35.62,"(27.29, 47.44)",1.7,"(1.63, 1.76)",0.88,"(0.78, 0.99)",2.49,"(2.09, 3.0)"
onset-to-hospital-admission,Gen. Log-normal,RR,8.18,"(7.12, 9.43)",46.71,"(24.8, 97.35)",1.86,"(1.74, 1.98)",0.62,"(0.48, 0.76)",1.81,"(1.45, 2.21)"
onset-to-hospital-admission,Gen. Log-normal,RS,6.85,"(6.67, 7.03)",22.56,"(20.29, 25.24)",1.73,"(1.7, 1.75)",0.63,"(0.59, 0.68)",2.02,"(1.87, 2.19)"
onset-to-hospital-admission,Gen. Log-normal,SC,7.14,"(6.87, 7.4)",25.24,"(21.55, 29.91)",1.77,"(1.74, 1.8)",0.59,"(0.52, 0.65)",1.87,"(1.68, 2.08)"
onset-to-hospital-admission,Gen. Log-normal,SE,7.58,"(7.2, 8.0)",39.35,"(31.79, 50.18)",1.76,"(1.72, 1.81)",0.73,"(0.65, 0.82)",2.04,"(1.79, 2.31)"
onset-to-hospital-admission,Gen. Log-normal,SP,7.31,"(7.26, 7.36)",29.03,"(28.17, 29.92)",1.78,"(1.77, 1.78)",0.61,"(0.6, 0.62)",1.86,"(1.83, 1.9)"
onset-to-hospital-admission,Gen. Log-normal,TO,8.15,"(7.69, 8.66)",30.14,"(23.66, 39.06)",1.92,"(1.86, 1.97)",0.57,"(0.48, 0.65)",1.88,"(1.62, 2.17)"
onset-to-hospital-admission,Gen. Log-normal,Brazil,7.77,"(7.74, 7.81)",35.72,"(34.98, 36.47)",1.83,"(1.82, 1.83)",0.61,"(0.6, 0.62)",1.82,"(1.8, 1.84)"
onset-to-hospital-discharge,Gamma,AC,18.61,"(11.95, 28.19)",117.27,"(54.82, 245.15)",3.09,"(2.15, 4.05)",0.17,"(0.11, 0.24)",,
onset-to-hospital-discharge,Gamma,AL,16.82,"(16.13, 17.5)",78.18,"(69.17, 88.26)",3.63,"(3.28, 3.98)",0.22,"(0.19, 0.24)",,
onset-to-hospital-discharge,Gamma,AM,18.58,"(18.18, 18.99)",111.88,"(104.64, 119.6)",3.09,"(2.93, 3.25)",0.17,"(0.16, 0.18)",,
onset-to-hospital-discharge,Gamma,AP,14.46,"(13.2, 15.81)",61.72,"(48.88, 77.39)",3.41,"(2.88, 3.99)",0.24,"(0.2, 0.28)",,
onset-to-hospital-discharge,Gamma,BA,16.52,"(16.04, 17.03)",77.97,"(71.22, 85.26)",3.51,"(3.27, 3.76)",0.21,"(0.2, 0.23)",,
onset-to-hospital-discharge,Gamma,CE,18.13,"(17.86, 18.41)",89.03,"(84.84, 93.44)",3.69,"(3.55, 3.84)",0.2,"(0.2, 0.21)",,
onset-to-hospital-discharge,Gamma,DF,16.28,"(15.87, 16.69)",65.14,"(60.01, 70.7)",4.07,"(3.82, 4.34)",0.25,"(0.23, 0.27)",,
onset-to-hospital-discharge,Gamma,ES,14.76,"(14.1, 15.43)",61.16,"(53.31, 70.45)",3.57,"(3.21, 3.96)",0.24,"(0.21, 0.27)",,
onset-to-hospital-discharge,Gamma,GO,15.45,"(14.9, 16.02)",61.93,"(55.29, 69.44)",3.86,"(3.52, 4.21)",0.25,"(0.23, 0.27)",,
onset-to-hospital-discharge,Gamma,MA,17.82,"(16.49, 19.28)",122.4,"(99.53, 151.58)",2.61,"(2.23, 3.01)",0.15,"(0.12, 0.17)",,
onset-to-hospital-discharge,Gamma,MG,14.92,"(14.59, 15.25)",62.54,"(58.27, 67.13)",3.56,"(3.37, 3.76)",0.24,"(0.22, 0.25)",,
onset-to-hospital-discharge,Gamma,MS,13.75,"(13.01, 14.52)",60.24,"(51.81, 70.43)",3.15,"(2.79, 3.53)",0.23,"(0.2, 0.26)",,
onset-to-hospital-discharge,Gamma,MT,17.21,"(16.85, 17.59)",77.41,"(72.08, 83.02)",3.83,"(3.62, 4.05)",0.22,"(0.21, 0.24)",,
onset-to-hospital-discharge,Gamma,PA,18.77,"(18.45, 19.11)",89.5,"(84.44, 94.62)",3.94,"(3.76, 4.13)",0.21,"(0.2, 0.22)",,
onset-to-hospital-discharge,Gamma,PB,15.7,"(15.0, 16.42)",70.76,"(61.71, 81.14)",3.49,"(3.15, 3.86)",0.22,"(0.2, 0.25)",,
onset-to-hospital-discharge,Gamma,PE,19.0,"(18.46, 19.54)",141.46,"(130.35, 153.55)",2.55,"(2.4, 2.71)",0.13,"(0.13, 0.14)",,
onset-to-hospital-discharge,Gamma,PI,12.83,"(12.09, 13.63)",55.47,"(47.03, 65.6)",2.98,"(2.64, 3.34)",0.23,"(0.2, 0.26)",,
onset-to-hospital-discharge,Gamma,PR,13.88,"(13.53, 14.24)",60.77,"(56.43, 65.57)",3.17,"(2.99, 3.36)",0.23,"(0.21, 0.24)",,
onset-to-hospital-discharge,Gamma,RJ,16.48,"(16.28, 16.69)",86.66,"(83.38, 90.07)",3.13,"(3.04, 3.23)",0.19,"(0.18, 0.2)",,
onset-to-hospital-discharge,Gamma,RN,16.32,"(15.74, 16.9)",57.04,"(50.6, 64.15)",4.68,"(4.24, 5.16)",0.29,"(0.26, 0.32)",,
onset-to-hospital-discharge,Gamma,RO,17.81,"(16.46, 19.23)",93.67,"(75.39, 116.93)",3.41,"(2.89, 3.95)",0.19,"(0.16, 0.23)",,
onset-to-hospital-discharge,Gamma,RR,16.17,"(14.02, 18.58)",82.52,"(59.61, 114.6)",3.22,"(2.55, 3.95)",0.2,"(0.15, 0.25)",,
onset-to-hospital-discharge,Gamma,RS,15.53,"(15.21, 15.87)",71.01,"(66.2, 76.1)",3.4,"(3.22, 3.59)",0.22,"(0.21, 0.23)",,
onset-to-hospital-discharge,Gamma,SC,15.5,"(14.92, 16.09)",69.84,"(62.49, 78.26)",3.45,"(3.15, 3.75)",0.22,"(0.2, 0.24)",,
onset-to-hospital-discharge,Gamma,SE,17.25,"(15.8, 18.84)",106.94,"(84.99, 134.72)",2.81,"(2.35, 3.28)",0.16,"(0.13, 0.19)",,
onset-to-hospital-discharge,Gamma,SP,16.03,"(15.93, 16.13)",84.99,"(83.4, 86.64)",3.02,"(2.98, 3.07)",0.19,"(0.19, 0.19)",,
onset-to-hospital-discharge,Gamma,TO,14.91,"(13.89, 16.02)",63.28,"(52.11, 77.14)",3.53,"(3.03, 4.07)",0.24,"(0.2, 0.28)",,
onset-to-hospital-discharge,Gamma,Brazil,16.41,"(16.34, 16.48)",85.03,"(83.94, 86.17)",3.17,"(3.13, 3.2)",0.19,"(0.19, 0.2)",,
onset-to-hospital-discharge,Weibull,AC,17.08,"(14.32, 20.02)",113.27,"(68.34, 187.79)",1.68,"(1.33, 2.02)",19.08,"(15.95, 22.36)",,
onset-to-hospital-discharge,Weibull,AL,16.76,"(16.13, 17.42)",77.63,"(69.87, 86.59)",1.99,"(1.88, 2.1)",18.91,"(18.19, 19.66)",,
onset-to-hospital-discharge,Weibull,AM,18.62,"(18.21, 19.03)",117.41,"(110.97, 124.24)",1.78,"(1.73, 1.82)",20.92,"(20.46, 21.4)",,
onset-to-hospital-discharge,Weibull,AP,14.57,"(13.36, 15.78)",60.98,"(48.58, 77.14)",1.95,"(1.75, 2.17)",16.42,"(15.05, 17.79)",,
onset-to-hospital-discharge,Weibull,BA,16.55,"(16.06, 17.04)",83.73,"(77.61, 90.34)",1.88,"(1.81, 1.95)",18.65,"(18.09, 19.2)",,
onset-to-hospital-discharge,Weibull,CE,18.16,"(17.87, 18.43)",95.84,"(91.89, 99.99)",1.93,"(1.89, 1.97)",20.47,"(20.15, 20.79)",,
onset-to-hospital-discharge,Weibull,DF,16.27,"(15.85, 16.71)",69.99,"(65.36, 75.0)",2.04,"(1.96, 2.11)",18.37,"(17.89, 18.87)",,
onset-to-hospital-discharge,Weibull,ES,14.8,"(14.16, 15.46)",62.58,"(55.76, 70.69)",1.95,"(1.84, 2.07)",16.69,"(15.95, 17.44)",,
onset-to-hospital-discharge,Weibull,GO,15.44,"(14.9, 15.97)",62.8,"(57.3, 69.3)",2.04,"(1.94, 2.15)",17.43,"(16.81, 18.03)",,
onset-to-hospital-discharge,Weibull,MA,17.82,"(16.58, 19.07)",128.5,"(107.47, 155.66)",1.62,"(1.48, 1.75)",19.89,"(18.46, 21.3)",,
onset-to-hospital-discharge,Weibull,MG,14.99,"(14.63, 15.35)",73.5,"(69.37, 77.82)",1.81,"(1.76, 1.86)",16.86,"(16.45, 17.28)",,
onset-to-hospital-discharge,Weibull,MS,13.9,"(13.14, 14.65)",61.25,"(53.14, 70.6)",1.85,"(1.72, 1.97)",15.65,"(14.78, 16.5)",,
onset-to-hospital-discharge,Weibull,MT,17.17,"(16.81, 17.54)",78.0,"(73.73, 82.68)",2.04,"(1.98, 2.1)",19.37,"(18.97, 19.79)",,
onset-to-hospital-discharge,Weibull,PA,18.78,"(18.44, 19.12)",96.23,"(91.91, 101.17)",2.0,"(1.95, 2.05)",21.19,"(20.8, 21.57)",,
onset-to-hospital-discharge,Weibull,PB,15.73,"(15.0, 16.46)",72.18,"(64.05, 81.56)",1.93,"(1.82, 2.04)",17.73,"(16.9, 18.57)",,
onset-to-hospital-discharge,Weibull,PE,19.03,"(18.5, 19.56)",142.57,"(132.98, 153.38)",1.64,"(1.58, 1.69)",21.26,"(20.66, 21.88)",,
onset-to-hospital-discharge,Weibull,PI,13.17,"(12.34, 14.02)",63.88,"(54.71, 75.39)",1.7,"(1.59, 1.81)",14.75,"(13.81, 15.72)",,
onset-to-hospital-discharge,Weibull,PR,13.97,"(13.61, 14.32)",65.82,"(61.6, 70.52)",1.78,"(1.72, 1.83)",15.7,"(15.28, 16.1)",,
onset-to-hospital-discharge,Weibull,RJ,16.56,"(16.34, 16.78)",94.77,"(91.52, 98.23)",1.76,"(1.73, 1.78)",18.6,"(18.35, 18.85)",,
onset-to-hospital-discharge,Weibull,RN,16.18,"(15.63, 16.75)",59.63,"(54.16, 65.9)",2.22,"(2.1, 2.33)",18.27,"(17.65, 18.91)",,
onset-to-hospital-discharge,Weibull,RO,17.57,"(16.34, 18.87)",93.38,"(76.98, 113.93)",1.9,"(1.72, 2.08)",19.79,"(18.37, 21.27)",,
onset-to-hospital-discharge,Weibull,RR,16.26,"(14.34, 18.26)",84.85,"(61.41, 118.13)",1.85,"(1.59, 2.11)",18.29,"(16.08, 20.53)",,
onset-to-hospital-discharge,Weibull,RS,15.61,"(15.24, 15.99)",83.36,"(78.6, 88.37)",1.77,"(1.72, 1.82)",17.54,"(17.11, 17.97)",,
onset-to-hospital-discharge,Weibull,SC,15.61,"(15.01, 16.23)",79.18,"(71.67, 87.52)",1.82,"(1.73, 1.9)",17.56,"(16.88, 18.27)",,
onset-to-hospital-discharge,Weibull,SE,17.23,"(15.9, 18.59)",103.51,"(84.35, 128.55)",1.75,"(1.59, 1.92)",19.34,"(17.83, 20.88)",,
onset-to-hospital-discharge,Weibull,SP,16.1,"(15.99, 16.2)",91.93,"(90.44, 93.44)",1.73,"(1.72, 1.74)",18.06,"(17.94, 18.18)",,
onset-to-hospital-discharge,Weibull,TO,14.99,"(13.98, 16.04)",66.61,"(55.84, 80.15)",1.92,"(1.75, 2.08)",16.89,"(15.74, 18.1)",,
onset-to-hospital-discharge,Weibull,Brazil,16.37,"(16.3, 16.43)",90.99,"(89.98, 91.98)",1.77,"(1.76, 1.78)",18.39,"(18.31, 18.47)",,
onset-to-hospital-discharge,Log-normal,AC,17.37,"(14.07, 21.31)",166.61,"(77.29, 321.02)",2.64,"(2.45, 2.83)",0.65,"(0.54, 0.77)",,
onset-to-hospital-discharge,Log-normal,AL,17.18,"(16.38, 18.04)",116.28,"(96.42, 140.53)",2.68,"(2.63, 2.72)",0.58,"(0.55, 0.61)",,
onset-to-hospital-discharge,Log-normal,AM,18.88,"(18.44, 19.36)",163.63,"(148.6, 180.55)",2.75,"(2.73, 2.77)",0.61,"(0.6, 0.63)",,
onset-to-hospital-discharge,Log-normal,AP,14.97,"(13.63, 16.52)",87.01,"(60.35, 124.16)",2.54,"(2.45, 2.63)",0.57,"(0.51, 0.63)",,
onset-to-hospital-discharge,Log-normal,BA,16.77,"(16.26, 17.33)",109.47,"(96.71, 124.15)",2.66,"(2.63, 2.68)",0.57,"(0.55, 0.6)",,
onset-to-hospital-discharge,Log-normal,CE,18.39,"(18.08, 18.71)",123.89,"(115.91, 132.63)",2.76,"(2.74, 2.77)",0.56,"(0.55, 0.57)",,
